metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1788335415,1.000000,,,1401,false,,POST,01_Login,HTTP/1.1,default,,401,,,01_Login,,
http_req_duration,1788335415,1.983600,,,1401,false,,POST,01_Login,HTTP/1.1,default,,401,,,01_Login,,
http_req_blocked,1788335415,10.358900,,,1401,false,,POST,01_Login,HTTP/1.1,default,,401,,,01_Login,,
http_req_connecting,1788335415,1.021400,,,1401,false,,POST,01_Login,HTTP/1.1,default,,401,,,01_Login,,
http_req_tls_handshaking,1788335415,0.000000,,,1401,false,,POST,01_Login,HTTP/1.1,default,,401,,,01_Login,,
http_req_sending,1788335415,0.000000,,,1401,false,,POST,01_Login,HTTP/1.1,default,,401,,,01_Login,,
http_req_waiting,1788335415,1.983600,,,1401,false,,POST,01_Login,HTTP/1.1,default,,401,,,01_Login,,
http_req_receiving,1788335415,0.000000,,,1401,false,,POST,01_Login,HTTP/1.1,default,,401,,,01_Login,,
http_req_failed,1788335415,1.000000,,,1401,false,,POST,01_Login,HTTP/1.1,default,,401,,,01_Login,,
checks,1788335415,0.000000,Login status is 200,,,,,,,,default,,,,,,,
checks,1788335415,0.000000,Login returns token,,,,,,,,default,,,,,,,
checks,1788335415,1.000000,Login account not locked (not 403),,,,,,,,default,,,,,,,
vus,1788335416,1.000000,,,,,,,,,,,,,,,,
vus_max,1788335416,50.000000,,,,,,,,,,,,,,,,
http_reqs,1788335416,1.000000,,,,true,,GET,02_BrowseProducts,HTTP/1.1,default,,200,,,02_BrowseProducts,,
http_req_duration,1788335416,1.489900,,,,true,,GET,02_BrowseProducts,HTTP/1.1,default,,200,,,02_BrowseProducts,,
http_req_blocked,1788335416,0.000000,,,,true,,GET,02_BrowseProducts,HTTP/1.1,default,,200,,,02_BrowseProducts,,
http_req_connecting,1788335416,0.000000,,,,true,,GET,02_BrowseProducts,HTTP/1.1,default,,200,,,02_BrowseProducts,,
http_req_tls_handshaking,1788335416,0.000000,,,,true,,GET,02_BrowseProducts,HTTP/1.1,default,,200,,,02_BrowseProducts,,
http_req_sending,1788335416,0.000000,,,,true,,GET,02_BrowseProducts,HTTP/1.1,default,,200,,,02_BrowseProducts,,
http_req_waiting,1788335416,0.787700,,,,true,,GET,02_BrowseProducts,HTTP/1.1,default,,200,,,02_BrowseProducts,,
http_req_receiving,1788335416,0.702200,,,,true,,GET,02_BrowseProducts,HTTP/1.1,default,,200,,,02_BrowseProducts,,
http_req_failed,1788335416,0.000000,,,,true,,GET,02_BrowseProducts,HTTP/1.1,default,,200,,,02_BrowseProducts,,
checks,1788335416,1.000000,Product list status is 200,,,,,,,,default,,,,,,,
checks,1788335416,1.000000,Product list is array,,,,,,,,default,,,,,,,
vus,1788335417,1.000000,,,,,,,,,,,,,,,,
vus_max,1788335417,50.000000,,,,,,,,,,,,,,,,
http_reqs,1788335417,1.000000,,,1401,false,,POST,01_Login,HTTP/1.1,default,,401,,,01_Login,,
http_req_duration,1788335417,1.514800,,,1401,false,,POST,01_Login,HTTP/1.1,default,,401,,,01_Login,,
http_req_blocked,1788335417,0.556400,,,1401,false,,POST,01_Login,HTTP/1.1,default,,401,,,01_Login,,
http_req_connecting,1788335417,0.556400,,,1401,false,,POST,01_Login,HTTP/1.1,default,,401,,,01_Login,,
http_req_tls_handshaking,1788335417,0.000000,,,1401,false,,POST,01_Login,HTTP/1.1,default,,401,,,01_Login,,
