metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1788335956,1.000000,,,,true,,POST,01_Login,HTTP/1.1,default,,200,,,01_Login,,
http_req_duration,1788335956,1.939300,,,,true,,POST,01_Login,HTTP/1.1,default,,200,,,01_Login,,
http_req_blocked,1788335956,8.368300,,,,true,,POST,01_Login,HTTP/1.1,default,,200,,,01_Login,,
http_req_connecting,1788335956,0.519900,,,,true,,POST,01_Login,HTTP/1.1,default,,200,,,01_Login,,
http_req_tls_handshaking,1788335956,0.000000,,,,true,,POST,01_Login,HTTP/1.1,default,,200,,,01_Login,,
http_req_sending,1788335956,0.000000,,,,true,,POST,01_Login,HTTP/1.1,default,,200,,,01_Login,,
http_req_waiting,1788335956,1.536700,,,,true,,POST,01_Login,HTTP/1.1,default,,200,,,01_Login,,
http_req_receiving,1788335956,0.402600,,,,true,,POST,01_Login,HTTP/1.1,default,,200,,,01_Login,,
http_req_failed,1788335956,0.000000,,,,true,,POST,01_Login,HTTP/1.1,default,,200,,,01_Login,,
checks,1788335956,1.000000,Login success (200),,,,,,,,default,,,,,,,
checks,1788335956,0.000000,Account Locked detected (403 - FR-02 Lockout Triggered),,,,,,,,default,,,,,,,
vus,1788335957,1.000000,,,,,,,,,,,,,,,,
vus_max,1788335957,200.000000,,,,,,,,,,,,,,,,
http_reqs,1788335957,1.000000,,,,true,,GET,02_BrowseProducts,HTTP/1.1,default,,200,,,02_BrowseProducts,,
http_req_duration,1788335957,1.135800,,,,true,,GET,02_BrowseProducts,HTTP/1.1,default,,200,,,02_BrowseProducts,,
http_req_blocked,1788335957,0.000000,,,,true,,GET,02_BrowseProducts,HTTP/1.1,default,,200,,,02_BrowseProducts,,
http_req_connecting,1788335957,0.000000,,,,true,,GET,02_BrowseProducts,HTTP/1.1,default,,200,,,02_BrowseProducts,,
http_req_tls_handshaking,1788335957,0.000000,,,,true,,GET,02_BrowseProducts,HTTP/1.1,default,,200,,,02_BrowseProducts,,
http_req_sending,1788335957,0.000000,,,,true,,GET,02_BrowseProducts,HTTP/1.1,default,,200,,,02_BrowseProducts,,
http_req_waiting,1788335957,1.135800,,,,true,,GET,02_BrowseProducts,HTTP/1.1,default,,200,,,02_BrowseProducts,,
http_req_receiving,1788335957,0.000000,,,,true,,GET,02_BrowseProducts,HTTP/1.1,default,,200,,,02_BrowseProducts,,
http_req_failed,1788335957,0.000000,,,,true,,GET,02_BrowseProducts,HTTP/1.1,default,,200,,,02_BrowseProducts,,
checks,1788335957,1.000000,Browse status 200,,,,,,,,default,,,,,,,
http_reqs,1788335957,1.000000,,,,true,,GET,03_ProductDetail,HTTP/1.1,default,,200,,,03_ProductDetail,,
http_req_duration,1788335957,0.817900,,,,true,,GET,03_ProductDetail,HTTP/1.1,default,,200,,,03_ProductDetail,,
http_req_blocked,1788335957,0.000000,,,,true,,GET,03_ProductDetail,HTTP/1.1,default,,200,,,03_ProductDetail,,
http_req_connecting,1788335957,0.000000,,,,true,,GET,03_ProductDetail,HTTP/1.1,default,,200,,,03_ProductDetail,,
http_req_tls_handshaking,1788335957,0.000000,,,,true,,GET,03_ProductDetail,HTTP/1.1,default,,200,,,03_ProductDetail,,
http_req_sending,1788335957,0.000000,,,,true,,GET,03_ProductDetail,HTTP/1.1,default,,200,,,03_ProductDetail,,
http_req_waiting,1788335957,0.503200,,,,true,,GET,03_ProductDetail,HTTP/1.1,default,,200,,,03_ProductDetail,,
http_req_receiving,1788335957,0.314700,,,,true,,GET,03_ProductDetail,HTTP/1.1,default,,200,,,03_ProductDetail,,
http_req_failed,1788335957,0.000000,,,,true,,GET,03_ProductDetail,HTTP/1.1,default,,200,,,03_ProductDetail,,
checks,1788335957,1.000000,Product detail status 200,,,,,,,,default,,,,,,,
checks,1788335957,0.000000,Price type check (Detect BUG #3 string on even IDs),,,,,,,,default,,,,,,,
vus,1788335958,1.000000,,,,,,,,,,,,,,,,
vus_max,1788335958,200.000000,,,,,,,,,,,,,,,,
http_reqs,1788335958,1.000000,,,,true,,POST,04_ApplyCoupon,HTTP/1.1,default,,200,,,04_ApplyCoupon,,
http_req_duration,1788335958,2.044900,,,,true,,POST,04_ApplyCoupon,HTTP/1.1,default,,200,,,04_ApplyCoupon,,
http_req_blocked,1788335958,0.000000,,,,true,,POST,04_ApplyCoupon,HTTP/1.1,default,,200,,,04_ApplyCoupon,,
http_req_connecting,1788335958,0.000000,,,,true,,POST,04_ApplyCoupon,HTTP/1.1,default,,200,,,04_ApplyCoupon,,
http_req_tls_handshaking,1788335958,0.000000,,,,true,,POST,04_ApplyCoupon,HTTP/1.1,default,,200,,,04_ApplyCoupon,,
